SubscriberKey,Email,FirstName,LastName,LastTransactionId,LastTransactionDate
9083,james.bond@mi6.com,James,Bond,115463,4/26/2023 12:00:00 AM
5367,tony.stark@starkindustries.com,Tony,Stark,109762,4/21/2023 12:00:00 AM
2961,ellen.ripley@weyland.com,Ellen,Ripley,,
8753,indiana.jones@marshall.edu,Indiana,Jones,,
5619,harry.potter@hogwarts.edu,Harry,Potter,,
9051,luke.skywalker@jediorder.org,Luke,Skywalker,,
5638,marty.mcfly@hillvalley.edu,Marty,McFly,,
5262,dorothy.gale@kansas.us,Dorothy,Gale,,
9011,han.solo@millenniumfalcon.com,Han,Solo,,
2887,forrest.gump@alabama.us,Forrest,Gump,,
