SubscriberKey,Email,FirstName,LastName,LoyaltyLevel,LoyaltyPoints
9083,james.bond@mi6.com,James,Bond,Gold,5390
5367,tony.stark@starkindustries.com,Tony,Stark,Bronze,4800
2961,ellen.ripley@weyland.com,Ellen,Ripley,Gold,7100
8753,indiana.jones@marshall.edu,Indiana,Jones,Gold,6200
5619,harry.potter@hogwarts.edu,Harry,Potter,Platinum,13400
9051,luke.skywalker@jediorder.org,Luke,Skywalker,Platinum,12100
5638,marty.mcfly@hillvalley.edu,Marty,McFly,Diamond,24000
5262,dorothy.gale@kansas.us,Dorothy,Gale,Gold,5800
9011,han.solo@millenniumfalcon.com,Han,Solo,Platinum,11300
2887,forrest.gump@alabama.us,Forrest,Gump,Platinum,14800
