Email,FirstName,LastName,discount
john.doe@gmail.com,John,Doe,
jane.smith@yahoo.com,Jane,Smith,
sara.wilson@hotmail.com,Sara,Wilson,
mike.brown@gmail.com,Mike,Brown,
emily.jones@hotmail.com,Emily,Jones,
steve.taylor@yahoo.com,Steve,Taylor,
chris.green@gmail.com,Chris,Green,
lisa.white@hotmail.com,Lisa,White,
david.black@yahoo.com,David,Black,
kate.wright@gmail.com,Kate,Wright,
andrew.hill@hotmail.com,Andrew,Hill,
jessica.baker@yahoo.com,Jessica,Baker,
tom.jackson@gmail.com,Tom,Jackson,
amy.cooper@hotmail.com,Amy,Cooper,
mark.taylor@yahoo.com,Mark,Taylor,
jennifer.lee@gmail.com,Jennifer,Lee,
bradley.miller@hotmail.com,Bradley,Miller,
lauren.clark@yahoo.com,Lauren,Clark,
kevin.murphy@gmail.com,Kevin,Murphy,
olivia.scott@hotmail.com,Olivia,Scott,
amy.white@mno.com,,,15
