Email,FirstName,LastName,City
john.doe@gmail.com,John,Doe,Los Angeles
jane.smith@yahoo.com,Jane,Smith,Chicago
sara.wilson@hotmail.com,Sara,Wilson,New York
mike.brown@gmail.com,Mike,Brown,Houston
emily.jones@hotmail.com,Emily,Jones,Miami
steve.taylor@yahoo.com,Steve,Taylor,Toronto
chris.green@gmail.com,Chris,Green,Seattle
lisa.smith@hotmail.com,Lisa,White,Vancouver
david.amber@yahoo.com,David,Black,Montreal
kate.wright@gmail.com,Kate,Wright,Denver
andrew.hill@hotmail.com,Andrew,Hill,Phoenix
jessica.baker@yahoo.com,Jessica,Baker,Dallas
tom.jackson@gmail.com,Tom,Jackson,San Francisco
amy.cooper@hotmail.com,Amy,Cooper,Washington D.C.
mark.taylor@yahoo.com,Mark,Taylor,Atlanta
jennifer.lee@gmail.com,Jennifer,Lee,Boston
bradley.miller@hotmail.com,Bradley,Miller,Calgary
lauren.clark@yahoo.com,Lauren,Clark,Ottawa
kevin.murphy@gmail.com,Kevin,Murphy,Philadelphia
olivia.scott@hotmail.com,Olivia,Scott,Edmonton
