PromoCode,EmailAddress,IsClaimed,ClaimedDate
JSW1N,ellen.ripley@weyland-yutani.com,True,5/16/2025 3:42:16 PM
BB0RW,tony.stark@starkindustries.com,True,5/16/2025 3:42:17 PM
NBLLH,indiana.jones@marshall.edu,True,5/16/2025 3:42:19 PM
PJ7CZ,harry.potter@hogwarts.edu,True,5/16/2025 3:42:22 PM
HDLAY,luke.skywalker@jediorder.org,True,5/16/2025 3:42:23 PM
OGYEF,dorothy.gale@kansas.us,True,5/16/2025 3:42:27 PM
WDWBK,marty.mcfly@hillvalley.edu,True,5/16/2025 3:42:28 PM
L99KN,han.solo@millenniumfalcon.com,True,5/16/2025 3:43:18 PM
TRVPB,forrest.gump@alabama.us,True,5/16/2025 3:43:21 PM
JLABF,,False,5/16/2025 6:37:20 PM
PAX37,,False,5/16/2025 6:37:20 PM
RCNPC,,False,5/16/2025 6:37:20 PM
PRDZ7,,False,5/16/2025 6:37:20 PM
UYGQQ,,False,5/16/2025 6:37:20 PM
2PYJ1,,False,5/16/2025 6:37:20 PM
QG6VR,,False,5/16/2025 6:37:20 PM
JARSG,,False,5/16/2025 6:37:20 PM
LYB1P,,False,5/16/2025 6:37:20 PM
AZJQO,,False,5/16/2025 6:37:20 PM
TB6B1,,False,5/16/2025 6:37:20 PM
CJIJL,,False,5/16/2025 6:37:20 PM
GTOTH,,False,5/16/2025 6:37:20 PM
UXQXC,,False,5/16/2025 6:37:20 PM
2ZDPK,,False,5/16/2025 6:37:20 PM
WKEUM,,False,5/16/2025 6:37:20 PM
BSJ5K,,False,5/16/2025 6:37:20 PM
ZHTV0,,False,5/16/2025 6:37:20 PM
MGVXM,,False,5/16/2025 6:37:20 PM
RIY3Z,,False,5/16/2025 6:37:20 PM
0HYV5,,False,5/16/2025 6:37:20 PM
YZ07D,,False,5/16/2025 6:37:20 PM
QHUTR,,False,5/16/2025 6:37:20 PM
RYUWB,,False,5/16/2025 6:37:20 PM
3AGNL,,False,5/16/2025 6:37:20 PM
WKHAR,,False,5/16/2025 6:37:20 PM
HAF5X,,False,5/16/2025 6:37:20 PM
TFHJE,,False,5/16/2025 6:37:20 PM
D1EAJ,,False,5/16/2025 6:37:20 PM
QRAPY,,False,5/16/2025 6:37:20 PM
860II,,False,5/16/2025 6:37:20 PM
9HS3L,,False,5/16/2025 6:37:20 PM
